word,asterisks,level
a,1,star1_elementary
abandon,0,none
able,2,star2_mid_high_common
aboard,0,none
abort,0,none
abound,0,none
about,1,star1_elementary
above,1,star1_elementary
abroad,0,none
absent,0,none
absolute,2,star2_mid_high_common
absorb,0,none
abstract,0,none
absurd,0,none
abuse,0,none
academy,0,none
accelerate,0,none
accent,2,star2_mid_high_common
accept,2,star2_mid_high_common
access,2,star2_mid_high_common
accident,2,star2_mid_high_common
accommodate,0,none
accompany,0,none
accomplish,0,none
accord,0,none
account,2,star2_mid_high_common
accumulate,0,none
accurate,0,none
accuse,2,star2_mid_high_common
ache,0,none
achieve,2,star2_mid_high_common
acid,0,none
acknowledge,0,none
acquire,0,none
acquisition,0,none
across,1,star1_elementary
act,1,star1_elementary
adapt,2,star2_mid_high_common
add,1,star1_elementary
addict,0,none
address,1,star1_elementary
adequate,0,none
adjust,0,none
administer,0,none
admire,2,star2_mid_high_common
admit,2,star2_mid_high_common
adolescent,0,none
adopt,2,star2_mid_high_common
adult,1,star1_elementary
advance,2,star2_mid_high_common
advantage,2,star2_mid_high_common
adventure,2,star2_mid_high_common
adverse,0,none
advertize,2,star2_mid_high_common
advertise,2,star2_mid_high_common
advice,2,star2_mid_high_common
advise,2,star2_mid_high_common
advocate,0,none
aesthetic,0,none
affair,2,star2_mid_high_common
affect,2,star2_mid_high_common
afford,2,star2_mid_high_common
afraid,1,star1_elementary
after,1,star1_elementary
afternoon,1,star1_elementary
again,1,star1_elementary
against,1,star1_elementary
age,1,star1_elementary
agency,0,none
agenda,0,none
agent,2,star2_mid_high_common
aggress,0,none
ago,1,star1_elementary
agree,1,star1_elementary
agriculture,0,none
ahead,1,star1_elementary
aid,2,star2_mid_high_common
aim,2,star2_mid_high_common
air,1,star1_elementary
airline,2,star2_mid_high_common
airplane,1,star1_elementary
aeroplane,1,star1_elementary
airport,2,star2_mid_high_common
alarm,2,star2_mid_high_common
album,1,star1_elementary
alcohol,2,star2_mid_high_common
alert,0,none
alien,0,none
alike,0,none
alive,2,star2_mid_high_common
all,1,star1_elementary
allocate,0,none
allow,2,star2_mid_high_common
ally,0,none
almost,1,star1_elementary
alone,1,star1_elementary
along,1,star1_elementary
alongside,0,none
aloud,2,star2_mid_high_common
already,1,star1_elementary
alright,1,star1_elementary
also,1,star1_elementary
alter,2,star2_mid_high_common
alternate,0,none
although,2,star2_mid_high_common
altogether,2,star2_mid_high_common
always,1,star1_elementary
amaze,2,star2_mid_high_common
ambassador,0,none
ambition,0,none
ambulance,2,star2_mid_high_common
among,2,star2_mid_high_common
amount,2,star2_mid_high_common
amuse,2,star2_mid_high_common
analysis,2,star2_mid_high_common
analyze,0,none
analyse,0,none
anchor,0,none
ancient,0,none
and,1,star1_elementary
angel,2,star2_mid_high_common
anger,2,star2_mid_high_common
angle,0,none
animal,1,star1_elementary
anniversary,0,none
announce,2,star2_mid_high_common
annoy,2,star2_mid_high_common
annual,2,star2_mid_high_common
another,1,star1_elementary
answer,1,star1_elementary
ant,2,star2_mid_high_common
anticipate,0,none
anxiety,0,none
anxious,2,star2_mid_high_common
any,1,star1_elementary
apart,2,star2_mid_high_common
apartment,1,star1_elementary
apology,0,none
apparent,0,none
appeal,2,star2_mid_high_common
appear,2,star2_mid_high_common
apple,1,star1_elementary
apply,2,star2_mid_high_common
appoint,2,star2_mid_high_common
appreciate,2,star2_mid_high_common
approach,2,star2_mid_high_common
appropriate,2,star2_mid_high_common
approve,0,none
approximate,0,none
architect,0,none
area,1,star1_elementary
argue,2,star2_mid_high_common
arise,0,none
arm,1,star1_elementary
army,2,star2_mid_high_common
around,1,star1_elementary
arrange,2,star2_mid_high_common
arrest,2,star2_mid_high_common
arrive,1,star1_elementary
arrow,0,none
art,1,star1_elementary
article,2,star2_mid_high_common
artifice,0,none
as,1,star1_elementary
aside,2,star2_mid_high_common
ask,1,star1_elementary
asleep,2,star2_mid_high_common
aspect,0,none
aspire,0,none
assault,0,none
assemble,0,none
assert,0,none
assess,2,star2_mid_high_common
asset,0,none
assign,2,star2_mid_high_common
assist,2,star2_mid_high_common
associate,2,star2_mid_high_common
assume,2,star2_mid_high_common
assure,0,none
astonish,0,none
at,1,star1_elementary
athlete,0,none
atmosphere,2,star2_mid_high_common
atom,0,none
attach,2,star2_mid_high_common
attack,2,star2_mid_high_common
attempt,2,star2_mid_high_common
attend,2,star2_mid_high_common
attention,2,star2_mid_high_common
attitude,2,star2_mid_high_common
attract,2,star2_mid_high_common
attribute,0,none
auction,0,none
audience,2,star2_mid_high_common
aunt,1,star1_elementary
authentic,0,none
author,0,none
automatic,2,star2_mid_high_common
autumn,1,star1_elementary
avail,0,none
average,2,star2_mid_high_common
avoid,2,star2_mid_high_common
await,0,none
awake,2,star2_mid_high_common
award,2,star2_mid_high_common
aware,2,star2_mid_high_common
away,1,star1_elementary
awe,0,none
awkward,2,star2_mid_high_common
baby,1,star1_elementary
back,1,star1_elementary
background,2,star2_mid_high_common
bacon,2,star2_mid_high_common
bad,1,star1_elementary
badminton,1,star1_elementary
bag,1,star1_elementary
bake,1,star1_elementary
balance,2,star2_mid_high_common
ball,1,star1_elementary
balloon,2,star2_mid_high_common
ban,0,none
banana,1,star1_elementary
band,2,star2_mid_high_common
bang,2,star2_mid_high_common
bank,1,star1_elementary
bankrupt,0,none
bar,2,star2_mid_high_common
bare,2,star2_mid_high_common
bargain,0,none
bark,2,star2_mid_high_common
barrier,0,none
base,1,star1_elementary
baseball,1,star1_elementary
basis,2,star2_mid_high_common
basket,1,star1_elementary
basketball,1,star1_elementary
bat,1,star1_elementary
bath,1,star1_elementary
battery,2,star2_mid_high_common
battle,2,star2_mid_high_common
bay,2,star2_mid_high_common
be,1,star1_elementary
beach,1,star1_elementary
beam,0,none
bean,2,star2_mid_high_common
bear,1,star1_elementary
